title,year,episodes,country,viewer_score,rank,genres,network,watchers
Twinkling Watermelon,2023,16,Korean,9.2,1,"Genres: Romance, Youth, Drama, Fantasy","Original Network: TVING, tvN",35440
Move to Heaven,2021,10,Korean,9.1,2,"Genres: Life, Drama",Original Network: Netflix,80661
Moving,2023,20,Korean,9.1,3,"Genres: Action, Thriller, Mystery, Supernatural","Original Network: Disney+, Hulu",40218
Weak Hero Class 1,2022,8,Korean,9.1,4,"Genres: Action, Youth, Drama",na,59302
Hospital Playlist Season 2,2021,12,Korean,9.1,5,"Genres: Romance, Life, Drama, Medical","Original Network: Netflix, tvN",56745
Nirvana in Fire,2015,54,Chinese,9.1,6,"Genres: Military, Historical, Drama, Political",Original Network: BTV,30234
Flower of Evil,2020,16,Korean,9.1,7,"Genres: Thriller, Romance, Crime, Melodrama",Original Network: tvN,113940
Alchemy of Souls,2022,20,Korean,9.1,8,"Genres: Action, Historical, Romance, Fantasy","Original Network: Netflix, tvN",84981
Hospital Playlist,2020,12,Korean,9.1,9,"Genres: Romance, Life, Drama, Medical","Original Network: Netflix, tvN",95102
Reset,2022,15,Chinese,9.1,10,"Genres: Thriller, Mystery, Sci-Fi",Original Network: Tencent Video,29180
Reply 1988,2015,20,Korean,9.1,11,"Genres: Comedy, Romance, Life, Youth",Original Network: tvN,99417
Hidden Love,2023,25,Chinese,9.0,12,"Genres: Comedy, Romance, Youth",Original Network: Youku,53119
My Mister,2018,16,Korean,9.0,13,"Genres: Psychological, Life, Drama",Original Network: tvN,70199
1 Litre no Namida,2005,11,Japanese,9.0,14,"Genres: Romance, Drama, Melodrama",Original Network: Fuji TV,38198
Love Like the Galaxy: Part 2,2022,29,Chinese,9.0,15,"Genres: Historical, Mystery, Romance, Political","Original Network: Dragon TV, iQiyi, Tencent Video",23326
Mysterious Lotus Casebook,2023,40,Chinese,9.0,16,"Genres: Mystery, Wuxia","Original Network: CCTV, iQiyi",10840
Joy of Life,2019,46,Chinese,9.0,17,"Genres: Mystery, Romance, Wuxia, Fantasy","Original Network: iQiyi, Tencent Video",23094
Under the Queen's Umbrella,2022,16,Korean,9.0,18,"Genres: Historical, Comedy, Drama, Political","Original Network: Netflix, tvN",27926
The Untamed,2019,50,Chinese,9.0,19,"Genres: Mystery, Wuxia, Fantasy",Original Network: Tencent Video,91633
When I Fly Towards You,2023,24,Chinese,9.0,20,"Genres: Comedy, Romance, Youth",Original Network: Youku,30519
Someday or One Day,2019,13,Taiwanese,9.0,21,"Genres: Thriller, Romance, Sci-Fi",Original Network: CTV,27245
The Glory Part 2,2023,8,Korean,9.0,22,"Genres: Thriller, Drama, Melodrama",Original Network: Netflix,55074
Love Like the Galaxy: Part 1,2022,27,Chinese,9.0,23,"Genres: Historical, Mystery, Romance, Political","Original Network: Dragon TV, iQiyi, Tencent Video",31623
Crash Landing on You,2019,16,Korean,9.0,24,"Genres: Military, Comedy, Romance, Political","Original Network: Netflix, tvN",169623
Dr. Romantic Season 3,2023,16,Korean,9.0,25,"Genres: Romance, Drama, Medical","Original Network: Disney+, SBS",22732
Prison Playbook,2017,16,Korean,9.0,26,"Genres: Comedy, Crime, Life, Drama","Original Network: Netflix, tvN",73806
Mr. Queen,2020,20,Korean,9.0,27,"Genres: Historical, Comedy, Romance, Fantasy",Original Network: tvN,81643
Oh No! Here Comes Trouble,2023,12,Taiwanese,9.0,28,"Genres: Mystery, Comedy, Drama, Supernatural",Original Network: iQiyi,8870
Mother,2018,16,Korean,9.0,29,"Genres: Thriller, Mystery, Psychological, Melodrama",Original Network: tvN,32495
Mother,2018,16,Korean,9.0,29,"Genres: Thriller, Drama",Original Network: NTV,10860
Mother,2010,11,Japanese,8.6,146,"Genres: Thriller, Mystery, Psychological, Melodrama",Original Network: tvN,32495
Mother,2010,11,Japanese,8.6,146,"Genres: Thriller, Drama",Original Network: NTV,10860
Go Ahead,2020,46,Chinese,8.9,30,"Genres: Comedy, Romance, Drama, Melodrama","Original Network: Hunan TV, iQiyi, Mango TV",46174
It's Okay to Not Be Okay,2020,16,Korean,8.9,31,"Genres: Psychological, Comedy, Romance, Drama","Original Network: Netflix, tvN",174805
Extraordinary Attorney Woo,2022,16,Korean,8.9,32,"Genres: Law, Romance, Life, Drama","Original Network: ENA, Netflix",96969
Alchemy of Souls Season 2: Light and Shadow,2022,10,Korean,8.9,33,"Genres: Action, Historical, Romance, Fantasy","Original Network: Netflix, tvN",51673
Navillera,2021,12,Korean,8.9,34,"Genres: Life, Drama","Original Network: Netflix, tvN",41925
The Glory,2022,8,Korean,8.9,35,"Genres: Thriller, Drama, Melodrama",Original Network: Netflix,76323
Vincenzo,2021,20,Korean,8.9,36,"Genres: Comedy, Law, Crime, Drama","Original Network: Netflix, tvN",135293
Signal,2016,16,Korean,8.9,37,"Genres: Thriller, Mystery, Sci-Fi",Original Network: tvN,76998
The Blood of Youth,2022,40,Chinese,8.9,38,"Genres: Wuxia, Youth, Fantasy",Original Network: Youku,10680
The Good Bad Mother,2023,14,Korean,8.9,39,"Genres: Comedy, Life, Drama, Family","Original Network: jTBC, Netflix, TVING",38238
I Feel You Linger in the Air: Uncut Version,2023,12,Thai,8.9,40,"Genres: Historical, Romance, Drama, Fantasy",Original Network: Youku,4997
Meet Yourself,2023,40,Chinese,8.9,41,"Genres: Romance, Life, Drama","Original Network: Hunan TV, Mango TV",14852
Kingdom Season 2,2020,6,Korean,8.9,42,"Genres: Thriller, Historical, Horror, Supernatural",Original Network: Netflix,41009
Happiness,2021,12,Korean,8.9,43,"Genres: Action, Thriller, Drama, Sci-Fi","Original Network: TVING, tvN",72942
Taxi Driver Season 2,2023,16,Korean,8.9,44,"Genres: Action, Thriller, Mystery, Crime","Original Network: SBS, ViuTV",22316
My Dearest,2023,10,Korean,8.9,45,"Genres: Historical, Romance, Drama, Melodrama",Original Network: MBC,15090
Mr. Sunshine,2018,24,Korean,8.9,46,"Genres: Military, Historical, Romance, Melodrama","Original Network: Netflix, tvN",69218
One Piece,2023,8,Japanese,8.9,47,"Genres: Action, Adventure, Comedy, Fantasy",Original Network: Netflix,9697
