title,year,episodes,viewer_score,rank
Twinkling Watermelon,2023,16,9.2,1
Move to Heaven,2021,10,9.1,2
Moving,2023,20,9.1,3
Weak Hero Class 1,2022,8,9.1,4
Hospital Playlist Season 2,2021,12,9.1,5
Nirvana in Fire,2015,54,9.1,6
Flower of Evil,2020,16,9.1,7
Alchemy of Souls,2022,20,9.1,8
Hospital Playlist,2020,12,9.1,9
Reset,2022,15,9.1,10
Reply 1988,2015,20,9.1,11
Hidden Love,2023,25,9.0,12
My Mister,2018,16,9.0,13
1 Litre no Namida,2005,11,9.0,14
Love Like the Galaxy: Part 2,2022,29,9.0,15
Mysterious Lotus Casebook,2023,40,9.0,16
Joy of Life,2019,46,9.0,17
Under the Queen's Umbrella,2022,16,9.0,18
The Untamed,2019,50,9.0,19
When I Fly Towards You,2023,24,9.0,20
