title,year,episodes,country,viewer_score,rank
Twinkling Watermelon,2023,16,Korean,9.2,1
Move to Heaven,2021,10,Korean,9.1,2
Moving,2023,20,Korean,9.1,3
Weak Hero Class 1,2022,8,Korean,9.1,4
Hospital Playlist Season 2,2021,12,Korean,9.1,5
Nirvana in Fire,2015,54,Chinese,9.1,6
Flower of Evil,2020,16,Korean,9.1,7
Alchemy of Souls,2022,20,Korean,9.1,8
Hospital Playlist,2020,12,Korean,9.1,9
Reset,2022,15,Chinese,9.1,10
Reply 1988,2015,20,Korean,9.1,11
Hidden Love,2023,25,Chinese,9.0,12
My Mister,2018,16,Korean,9.0,13
1 Litre no Namida,2005,11,Japanese,9.0,14
Love Like the Galaxy: Part 2,2022,29,Chinese,9.0,15
Mysterious Lotus Casebook,2023,40,Chinese,9.0,16
Joy of Life,2019,46,Chinese,9.0,17
Under the Queen's Umbrella,2022,16,Korean,9.0,18
The Untamed,2019,50,Chinese,9.0,19
When I Fly Towards You,2023,24,Chinese,9.0,20
Someday or One Day,2019,13,Taiwanese,9.0,21
The Glory Part 2,2023,8,Korean,9.0,22
Love Like the Galaxy: Part 1,2022,27,Chinese,9.0,23
Crash Landing on You,2019,16,Korean,9.0,24
Dr. Romantic Season 3,2023,16,Korean,9.0,25
Prison Playbook,2017,16,Korean,9.0,26
Mr. Queen,2020,20,Korean,9.0,27
Oh No! Here Comes Trouble,2023,12,Taiwanese,9.0,28
Mother,2018,16,Korean,9.0,29
Go Ahead,2020,46,Chinese,8.9,30
It's Okay to Not Be Okay,2020,16,Korean,8.9,31
Extraordinary Attorney Woo,2022,16,Korean,8.9,32
Alchemy of Souls Season 2: Light and Shadow,2022,10,Korean,8.9,33
Navillera,2021,12,Korean,8.9,34
The Glory,2022,8,Korean,8.9,35
Vincenzo,2021,20,Korean,8.9,36
Signal,2016,16,Korean,8.9,37
The Blood of Youth,2022,40,Chinese,8.9,38
The Good Bad Mother,2023,14,Korean,8.9,39
I Feel You Linger in the Air: Uncut Version,2023,12,Thai,8.9,40
Meet Yourself,2023,40,Chinese,8.9,41
Kingdom Season 2,2020,6,Korean,8.9,42
Happiness,2021,12,Korean,8.9,43
Taxi Driver Season 2,2023,16,Korean,8.9,44
My Dearest,2023,10,Korean,8.9,45
Mr. Sunshine,2018,24,Korean,8.9,46
One Piece,2023,8,Japanese,8.9,47
My Dearest Part 2,2023,11,Korean,8.9,48
Tomorrow,2022,16,Korean,8.8,49
Story of Kunning Palace,2023,38,Chinese,8.8,50
Hikaru no Go,2020,36,Chinese,8.8,51
Imawa no Kuni no Alice Season 2,2022,8,Japanese,8.8,52
Tale of the Nine-Tailed 1938,2023,12,Korean,8.8,53
More than Blue: The Series,2021,10,Taiwanese,8.8,54
Healer,2014,20,Korean,8.8,55
The Story of Ming Lan,2018,78,Chinese,8.8,56
Love Between Fairy and Devil,2022,36,Chinese,8.8,57
Mouse,2021,20,Korean,8.8,58
Imawa no Kuni no Alice,2020,8,Japanese,8.8,59
Goblin,2016,16,Korean,8.8,60
