title,genres,network,watchers
Delicious Romance,"Genres: Romance, Life, Drama",Original Network: Tencent Video,2679
She Makes My Heart Flutter,"Genres: Comedy, Romance",na,4075
The Oath of Love,"Genres: Romance, Life, Youth, Drama","Original Network: Hunan TV, Tencent Video",30408
Young Blood,"Genres: Mystery, Comedy, Wuxia, Fantasy","Original Network: Hunan TV, iQiyi, Mango TV",5686
The Tale of Nokdu,"Genres: Action, Historical, Comedy, Romance",Original Network: KBS2,58428
Jun Jiu Ling,"Genres: Historical, Mystery, Romance, Drama",Original Network: Youku,8418
My Girlfriend Is an Alien,"Genres: Comedy, Romance, Fantasy",Original Network: Tencent Video,32611
Who Are You,"Genres: Mystery, Romance, Youth, Drama",Original Network: GMM 25,5557
My Girlfriend Is an Alien Season 2,"Genres: Comedy, Romance, Sci-Fi, Fantasy",Original Network: Tencent Video,11661
A Love So Beautiful,"Genres: Comedy, Romance, Life, Youth",Original Network: Tencent Video,62332
SPEC: Birth,"Genres: Mystery, Comedy, Supernatural",Original Network: TBS,4048
Love O2O,"Genres: Business, Comedy, Romance, Drama","Original Network: Dragon TV, JSTV, Youku",87174
One Spring Night,"Genres: Romance, Life, Drama, Melodrama","Original Network: MBC, Netflix",46949
Kieta Hatsukoi,"Genres: Comedy, Romance, Life, Youth",Original Network: TV Asahi,40183
The Nokdu Flower,"Genres: Historical, Romance, War, Political",Original Network: SBS,9191
My Fated Boy,"Genres: Comedy, Romance, Life",Original Network: Youku,10550
Voice Season 4: Judgment Hour,"Genres: Action, Thriller, Mystery, Supernatural",Original Network: tvN,7489
Gu Family Book,"Genres: Action, Historical, Romance, Fantasy",Original Network: MBC,43764
The Gifted Graduation,"Genres: Thriller, Mystery, Psychological, Supernatural",Original Network: GMM 25,13156
Influence,"Genres: Thriller, Drama",Original Network: WOWOW,2391
