title,genres,network,watchers
Life on Mars,"Genres: Action, Mystery, Psychological, Comedy",Original Network: OCN,28676
Love and Redemption,"Genres: Romance, Wuxia, Drama, Fantasy","Original Network: Mango TV, Tencent Video, Youku",25347
Racket Boys,"Genres: Comedy, Life, Drama, Sports","Original Network: Netflix, SBS",26891
Dear My Friends,"Genres: Life, Drama, Melodrama",Original Network: tvN,12902
Beyond Evil,"Genres: Thriller, Mystery, Psychological, Drama",Original Network: jTBC,51462
Arthdal Chronicles Part 3: The Prelude to All Legends,"Genres: Historical, Romance, Fantasy, Political","Original Network: Netflix, tvN",22342
First Love: Hatsukoi,"Genres: Romance, Drama, Melodrama",Original Network: Netflix,17226
Hometown Cha-Cha-Cha,"Genres: Comedy, Romance, Life, Drama","Original Network: Netflix, tvN",100999
Under the Skin,"Genres: Thriller, Mystery","Original Network: iQiyi, Tencent Video",9923
I Am Nobody,"Genres: Comedy, Wuxia, Drama, Fantasy",Original Network: Youku,7135
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land","Genres: Historical, Romance, Fantasy, Political","Original Network: Netflix, tvN",24998
Six Flying Dragons,"Genres: Action, Historical, Drama, Political",Original Network: SBS,23700
The Penthouse: War in Life,"Genres: Thriller, Mystery, Drama",Original Network: SBS,53259
Moon Lovers: Scarlet Heart Ryeo,"Genres: Historical, Romance, Fantasy, Melodrama",Original Network: SBS,136016
The Penthouse Season 2: War in Life,"Genres: Thriller, Mystery, Drama",Original Network: SBS,34871
Partners for Justice Season 2,"Genres: Mystery, Law, Drama, Medical",Original Network: MBC,9949
While You Were Sleeping,"Genres: Mystery, Romance, Drama, Supernatural",Original Network: SBS,152184
D.P. Season 2,"Genres: Action, Military, Drama",Original Network: Netflix,18887
The Guest,"Genres: Thriller, Mystery, Horror, Supernatural",Original Network: OCN,35128
Sweet Home,"Genres: Action, Horror, Drama, Sci-Fi",Original Network: Netflix,90778
Our Beloved Summer,"Genres: Romance, Life, Youth, Drama","Original Network: Netflix, SBS",81335
Ultimate Note,"Genres: Action, Adventure, Thriller, Mystery",Original Network: iQiyi,8737
Mystery to Iunakare,"Genres: Mystery, Psychological, Life, Drama",Original Network: Fuji TV,5739
The Long Ballad,"Genres: Action, Historical, Romance, War",Original Network: Tencent Video,27802
Strong Woman Do Bong Soon,"Genres: Action, Comedy, Romance, Supernatural",Original Network: jTBC,202933
My Name,"Genres: Action, Thriller, Mystery, Crime",Original Network: Netflix,82524
Defendant,"Genres: Thriller, Mystery, Law, Drama",Original Network: SBS,29939
The King of Pigs,"Genres: Thriller, Mystery, Drama",Original Network: TVING,13313
Revenant,"Genres: Thriller, Mystery, Horror, Supernatural","Original Network: Disney+, SBS",23799
18 Again,"Genres: Romance, Life, Drama, Fantasy",Original Network: jTBC,66119
Nirvana in Fire Season 2: The Wind Blows in Chang Lin,"Genres: Military, Wuxia, Drama, Political","Original Network: BTV, Dragon TV",7373
A Business Proposal,"Genres: Comedy, Romance, Drama","Original Network: Netflix, SBS",129760
"Kill Me, Heal Me","Genres: Psychological, Comedy, Romance, Drama",Original Network: MBC,107431
Who Rules the World,"Genres: Romance, Wuxia, Fantasy",Original Network: Tencent Video,32902
One and Only,"Genres: Military, Romance, Wuxia, Political","Original Network: iQiyi, Tencent Video",17597
Unnatural,"Genres: Thriller, Mystery, Medical",Original Network: TBS,8883
Lighter & Princess,"Genres: Business, Romance, Youth, Drama",Original Network: Youku,27359
Lost You Forever,"Genres: Romance, Wuxia, Drama, Fantasy",Original Network: Tencent Video,12482
Dr. Romantic,"Genres: Romance, Drama, Medical",Original Network: SBS,64752
New Life Begins,"Genres: Historical, Comedy, Romance, Life",Original Network: iQiyi,12832
